ticker,company,sector
SHN,SUNSHINE METALS LIMITED,Materials
SHO,SPORTSHERO LIMITED,Media & Entertainment
SHV,SELECT HARVESTS LIMITED,"Food, Beverage & Tobacco"
SIG,SIGMA HEALTHCARE LIMITED,Health Care Equipment & Services
SIO,SIMONDS GROUP LIMITED,Consumer Durables & Apparel
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services
SIS,SIMBLE SOLUTIONS LIMITED,Software & Services
SIV,SIV CAPITAL LIMITED,Capital Goods
SIX,SPRINTEX LIMITED,Automobiles & Components
SK1,SKINKANDY LIMITED,Consumer Discretionary Distribution & Retail
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,Consumer Services
SKG,STORAGE KING GROUP,Equity Real Estate Investment Trusts (REITs)
SKK,STAKK LIMITED,Telecommunication Services
SKM,SKYLARK MINERALS LIMITED,Materials
SKN,SKIN ELEMENTS LIMITED,Household & Personal Products
SKO,SERKO LIMITED,Software & Services
SKS,SKS TECHNOLOGIES GROUP LIMITED,Capital Goods
SKT,SKY NETWORK TELEVISION LIMITED.,Media & Entertainment
SKY,SKY METALS LIMITED,Materials
SLA,SOLARA MINERALS LTD,Materials
SLB,STELAR METALS LIMITED,Materials
SLC,SUPERLOOP LIMITED,Telecommunication Services
SLD,"SALUDA MEDICAL, INC.",Health Care Equipment & Services
SLM,SOLIS MINERALS LIMITED,Materials
SLS,SOLSTICE MINERALS LIMITED,Materials
SLX,SILEX SYSTEMS LIMITED,Capital Goods
SLZ,SULTAN RESOURCES LTD,Materials
SM1,SYNLAIT MILK LIMITED,"Food, Beverage & Tobacco"
SMI,SANTANA MINERALS LIMITED,Materials
SMM,SOMERSET MINERALS LIMITED,Materials
SMN,STRUCTURAL MONITORING SYSTEMS PLC,Technology Hardware & Equipment
SMR,STANMORE RESOURCES LIMITED,Materials
SMS,STAR MINERALS LIMITED,Materials
SMX,STRATA MINERALS LIMITED.,Materials
SNC,SANDON CAPITAL INVESTMENTS LIMITED,Not Applic
SND,SAUNDERS INTERNATIONAL LIMITED,Capital Goods
SNG,SIREN GOLD LIMITED,Materials
SNL,SUPPLY NETWORK LIMITED,Consumer Discretionary Distribution & Retail
SNM,SENTINEL METALS LIMITED,Materials
SNS,SENSEN NETWORKS LIMITED,Software & Services
SNT,SYNTARA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
SNX,SIERRA NEVADA GOLD INC.,Materials
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,Health Care Equipment & Services
SOC,SOCO CORPORATION LTD,Software & Services
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,Financial Services
SOM,SOMNOMED LIMITED,Health Care Equipment & Services
SOP,SYNERTEC CORPORATION LIMITED,Commercial & Professional Services
SOR,STRATEGIC ELEMENTS LIMITED,Financial Services
SP3,SPECTUR LIMITED,Technology Hardware & Equipment
SP8,STREAMPLAY STUDIO LIMITED,Media & Entertainment
SPA,SPACETALK LTD,Software & Services
SPD,SOUTHERN PALLADIUM LIMITED,Materials
SPG,SPC GLOBAL HOLDINGS LTD,"Food, Beverage & Tobacco"
SPK,SPARK NEW ZEALAND LIMITED,Telecommunication Services
SPL,STARPHARMA HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
SPN,SPARC TECHNOLOGIES LIMITED,Materials
SPQ,SUPERIOR RESOURCES LIMITED,Materials
SPX,SPENDA LIMITED,Software & Services
SPZ,SMART PARKING LIMITED,Commercial & Professional Services
SQX,SQX RESOURCES LIMITED,Materials
SRG,SRG GLOBAL LIMITED,Capital Goods
SRH,SAFEROADS HOLDINGS LIMITED,Transportation
SRJ,SRJ TECHNOLOGIES GROUP PLC,Energy
SRK,STRIKE RESOURCES LIMITED,Materials
SRL,SUNRISE ENERGY METALS LIMITED,Materials
SRN,SUREFIRE RESOURCES NL,Materials
SRR,SARAMA RESOURCES LTD,Materials
SRT,STRATA INVESTMENT HOLDINGS PLC,Materials
SRV,SERVCORP LIMITED,Real Estate Management & Development
SRZDA,STELLAR RESOURCES LIMITED,Materials
SS1,SUN SILVER LIMITED,Materials
SSG,SHAVER SHOP GROUP LIMITED,Consumer Discretionary Distribution & Retail
SSH,SSH GROUP LTD,Energy
SSL,SIETEL LIMITED,Real Estate Management & Development
SSM,SERVICE STREAM LIMITED,Capital Goods
SST,STEAMSHIPS TRADING COMPANY LIMITED,Capital Goods
STG,STRAKER LIMITED,Media & Entertainment
STH,STEPCHANGE HOLDINGS LIMITED,Software & Services
STK,STRICKLAND METALS LIMITED,Materials
STM,SUNSTONE METALS LTD,Materials
STN,SATURN METALS LIMITED,Materials
STO,SANTOS LIMITED,Energy
STP,STEP ONE CLOTHING LIMITED,Consumer Discretionary Distribution & Retail
STV,SWIFT TV LTD,Media & Entertainment
STX,STRIKE ENERGY LIMITED,Energy
SUH,SOUTHERN HEMISPHERE MINING LIMITED,Materials
SUL,SUPER RETAIL GROUP LIMITED,Consumer Discretionary Distribution & Retail
SUN,SUNCORP GROUP LIMITED,Insurance
SVG,SAVANNAH GOLDFIELDS LIMITED,Materials
SVL,SILVER MINES LIMITED,Materials
SVM,SOVEREIGN METALS LIMITED,Materials
SVR,SOLVAR LIMITED,Financial Services
SVY,STAVELY MINERALS LIMITED,Materials
SWP,SWOOP HOLDINGS LIMITED,Telecommunication Services
SX2,SOUTHERN CROSS GOLD CONSOLIDATED LTD.,Materials
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,Capital Goods
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,Media & Entertainment
SYL,SYMAL GROUP LIMITED,Capital Goods
SYR,SYRAH RESOURCES LIMITED,Materials
T3D,333D LIMITED,Commercial & Professional Services
T88,TAITON RESOURCES LIMITED,Materials
T92,TERRA CRITICAL MINERALS LIMITED,Energy
TAH,TABCORP HOLDINGS LIMITED,Consumer Services
TAL,TALIUS GROUP LIMITED,Software & Services
TAM,TANAMI GOLD NL,Materials
TAR,TARUGA MINERALS LIMITED,Materials
TAS,TASMAN RESOURCES LTD,Materials
TAT,TARTANA MINERALS LIMITED,Materials
TBN,TAMBORAN RESOURCES CORPORATION,Energy
TBR,TRIBUNE RESOURCES LIMITED,Materials
TCF,360 CAPITAL MORTGAGE REIT,Not Applic
TCG,TURACO GOLD LIMITED,Materials
TCL,TRANSURBAN GROUP,Transportation
TCO,TRANSMETRO CORPORATION LIMITED,Consumer Services
TD1,TALI DIGITAL LIMITED,Health Care Equipment & Services
TDO,3D ENERGI LIMITED,Energy
TEA,TASMEA LIMITED,Capital Goods
TEE,TOP END ENERGY LIMITED,Energy
TEG,TRIANGLE ENERGY (GLOBAL) LIMITED,Energy
TEK,THORNEY TECHNOLOGIES LTD,Not Applic
TEM,TEMPEST MINERALS LIMITED,Materials
TER,TERRACOM LIMITED,Energy
TET,TETRAGON ENERGY LIMITED,Class Pend
TFL,TASFOODS LIMITED,"Food, Beverage & Tobacco"
TG1,TECHGEN METALS LTD,Materials
TG6,TG METALS LIMITED,Materials
TGF,TRIBECA GLOBAL NATURAL RESOURCES LIMITED,Not Applic
TGH,TERRAGEN HOLDINGS LIMITED,Materials
TGM,THETA GOLD MINES LIMITED,Materials
TGN,TUNGSTEN MINING NL,Materials
THL,TOURISM HOLDINGS RENTALS LIMITED,Transportation
THR,THOR ENERGY PLC,Materials
TIA,TIAN AN AUSTRALIA LIMITED,Real Estate Management & Development
TIO,TEMAS RESOURCES CORP.,Materials
TIP,TEAMINVEST PRIVATE GROUP LIMITED,Financial Services
TKM,TREK METALS LIMITED,Materials
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Services
TLG,TALGA GROUP LTD,Materials
TLM,TALISMAN MINING LIMITED,Materials
TLS,TELSTRA GROUP LIMITED,Telecommunication Services
TLX,TELIX PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
TM1,TERRA METALS LIMITED,Energy
TMB,TAMBOURAH METALS LTD,Materials
TMK,TMK ENERGY LIMITED,Energy
TML,TIMAH RESOURCES LIMITED,Utilities
TMS,TENNANT MINERALS LIMITED,Materials
TMX,TERRAIN MINERALS LIMITED,Materials
TNC,TRUE NORTH COPPER LIMITED,Materials
TNE,TECHNOLOGY ONE LIMITED,Software & Services
TNY,TINYBEANS GROUP LTD,Media & Entertainment
TOK,TOLU MINERALS LIMITED.,Materials
TON,TRITON MINERALS LTD,Materials
TOP,THORNEY OPPORTUNITIES LTD,Not Applic
TOR,TORQUE METALS LIMITED..,Materials
TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs)
TOU,TLOU ENERGY LIMITED,Energy
TPC,TPC CONSOLIDATED LIMITED,Utilities
TPG,TPG TELECOM LIMITED.,Telecommunication Services
TPW,TEMPLE & WEBSTER GROUP LTD,Consumer Discretionary Distribution & Retail
TR2,TALI RESOURCES LTD,Materials
TR8,TARRINA RESOURCES LIMITED,Materials
TRA,TURNERS AUTOMOTIVE GROUP LIMITED,Consumer Discretionary Distribution & Retail
TRE,TOUBANI RESOURCES LIMITED,Materials
TRI,TRIVARX LTD,Health Care Equipment & Services
TRJ,TRAJAN GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
TRM,TRUSCOTT MINING CORPORATION LIMITED,Materials
TRP,TISSUE REPAIR LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
TRU,TRUSCREEN GROUP LIMITED,Health Care Equipment & Services
TSK,TUSKER MINERALS LTD,Materials
TSL,TITANIUM SANDS LIMITED,Materials
TSO,TESORO GOLD LTD,Materials
TSR,TURNSTONE RESOURCES LTD,Materials
TTM,TITAN MINERALS LIMITED,Materials
TTT,TITOMIC LIMITED,Materials
TTX,TETRATHERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
TUA,TUAS LIMITED,Telecommunication Services
TVL,TOUCH VENTURES LIMITED,Financial Services
TVN,TIVAN LIMITED,Materials
TWD,TAMAWOOD LIMITED,Consumer Durables & Apparel
TWE,TREASURY WINE ESTATES LIMITED,"Food, Beverage & Tobacco"
TWL,TRADE WINDOW HOLDINGS LIMITED,Class Pend
TWR,TOWER LIMITED,Insurance
TXR,TALONX RESOURCES LIMITED,Materials
TYR,TYRO PAYMENTS LIMITED,Financial Services
TYX,TYRANNA RESOURCES LIMITED,Materials
TZL,TZ LIMITED,Technology Hardware & Equipment
TZN,TERRAMIN AUSTRALIA LIMITED.,Materials
UBI,UNIVERSAL BIOSENSORS INC.,Health Care Equipment & Services
UBN,URBANISE.COM LIMITED,Software & Services
UCM,USCOM LIMITED,Health Care Equipment & Services
UM1,UNITY METALS LIMITED,Materials
UNI,UNIVERSAL STORE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail
UNT,UNITH LTD,Media & Entertainment
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate Management & Development
URF,US MASTERS RESIDENTIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs)
USC,US1 CRITICAL MINERALS LIMITED,Materials
USL,UNICO SILVER LIMITED,Materials
USM,UNION STAR METALS LTD,Materials
UWC,UNDERWOOD CAPITAL LIMITED,Not Applic
VAL,VALIANT GOLD LIMITED,Materials
VAR,VARISCAN MINES LIMITED,Materials
VAU,VAULT MINERALS LIMITED,Materials
VBC,VERBREC LIMITED,Capital Goods
VBS,VECTUS BIOSYSTEMS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
VBX,VBX LIMITED,Materials
VCX,VICINITY CENTRES,Equity Real Estate Investment Trusts (REITs)
VEA,VIVA ENERGY GROUP LIMITED,Energy
VEE,VEEM LTD,Capital Goods
VEN,VINTAGE ENERGY LTD,Energy
VFX,VISIONFLEX GROUP LIMITED,Health Care Equipment & Services
VFY,VITRAFY LIFE SCIENCES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
VGL,VISTA GROUP INTERNATIONAL LIMITED.,Software & Services
VGN,VIRGIN AUSTRALIA HOLDINGS LIMITED.,Transportation
VHL,VITASORA HEALTH LIMITED,Health Care Equipment & Services
VHM,VHM LIMITED,Materials
VIG,VICTOR GROUP HOLDINGS LIMITED,Software & Services
VIT,VITURA HEALTH LIMITED,Health Care Equipment & Services
VKA,VIKING MINES LIMITED,Materials
VLS,VITA LIFE SCIENCES LIMITED..,"Pharmaceuticals, Biotechnology & Life Sciences"
VMC,VENUS METALS CORPORATION LIMITED,Materials
VML,VITAL METALS LIMITED,Materials
VMM,VIRIDIS MINING AND MINERALS LIMITED,Materials
VMS,VENARI MINERALS NL,Materials
VMT,VMOTO LIMITED,Automobiles & Components
VNL,VINYL GROUP LTD,Software & Services
VNT,VENTIA SERVICES GROUP LIMITED,Capital Goods
VPR,VOLT GROUP LIMITED,Utilities
VR1,VECTION TECHNOLOGIES LTD,Software & Services
VR8,VANADIUM RESOURCES LIMITED,Materials
VRC,VOLT RESOURCES LIMITED,Materials
VRL,VERITY RESOURCES LIMITED,Materials
VRS,VERIS LIMITED,Commercial & Professional Services
VRX,VRX SILICA LIMITED,Materials
VSL,VULCAN STEEL LIMITED,Materials
VSR,VOLTAIC STRATEGIC RESOURCES LTD,Energy
VTA,VITA RESOURCES NL,Materials
VTM,VICTORY METALS LIMITED,Materials
VTX,VERTEX MINERALS LIMITED,Materials
VUL,VULCAN ENERGY RESOURCES LIMITED,Materials
VVA,VIVA LEISURE LIMITED,Consumer Services
VYS,VYSARN LIMITED,Materials
W2V,WAY 2 VAT LTD.,Software & Services
WA1,WA1 RESOURCES LTD,Materials
WAA,WAM ACTIVE LIMITED,Not Applic
WAF,WEST AFRICAN RESOURCES LIMITED,Materials
WAG,THE AUSTRALIAN WEALTH ADVISORS GROUP LIMITED,Financial Services
WAK,WA KAOLIN LIMITED,Materials
WAM,WAM CAPITAL LIMITED,Not Applic
WAR,WAM STRATEGIC VALUE LIMITED,Not Applic
WAT,WATERCO LIMITED,Consumer Durables & Apparel
WAU,WA GOLD LIMITED,Materials
WAX,WAM RESEARCH LIMITED,Not Applic
WBC,WESTPAC BANKING CORPORATION,Banks
WBT,WEEBIT NANO LTD,Semiconductors & Semiconductor Equipment
WC1,WEST COBAR METALS LIMITED,Materials
WC8,WILDCAT RESOURCES LIMITED,Materials
WCE,WEST COAST SILVER LIMITED,Materials
WCN,WHITE CLIFF MINERALS LIMITED,Materials
WDS,WOODSIDE ENERGY GROUP LTD,Energy
WEB,WEB TRAVEL GROUP LIMITED,Consumer Services
WEC,WHITE ENERGY COMPANY LIMITED,Energy
WEL,WINCHESTER ENERGY LTD,Energy
WES,WESFARMERS LIMITED,Consumer Discretionary Distribution & Retail
WGB,WAM GLOBAL LIMITED,Not Applic
WGN,WAGNERS HOLDING COMPANY LIMITED,Materials
WGR,WESTERN GOLD RESOURCES LIMITED.,Materials
WGX,WESTGOLD RESOURCES LIMITED.,Materials
WHC,WHITEHAVEN COAL LIMITED,Energy
WHF,WHITEFIELD INDUSTRIALS LIMITED,Not Applic
WHI,WHITEFIELD INCOME LIMITED,Not Applic
WHK,WHITEHAWK LIMITED,Software & Services
WIA,WIA GOLD LIMITED,Materials
WIN,WIN METALS LTD,Materials
WJL,WEBJET GROUP LIMITED,Consumer Services
WLE,WAM LEADERS LIMITED,Not Applic
WMA,WAM ALTERNATIVE ASSETS LIMITED,Not Applic
WMG,WESTERN MINES GROUP LTD,Materials
WMI,WAM MICROCAP LIMITED,Not Applic
WMX,WAM INCOME MAXIMISER LIMITED,Not Applic
WNR,WINGARA AG LTD,"Food, Beverage & Tobacco"
WNX,WELLNEX LIFE LIMITED,"Food, Beverage & Tobacco"
WOA,WIDE OPEN AGRICULTURE LTD,"Food, Beverage & Tobacco"
WOR,WORLEY LIMITED,Capital Goods
WOT,WOTSO,Real Estate Management & Development
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples Distribution & Retail
WPR,WAYPOINT REIT,Equity Real Estate Investment Trusts (REITs)
WQG,WCM GLOBAL GROWTH LIMITED,Not Applic
WRK,WRKR LTD,Software & Services
WRX,WESTERN RIDGE RESOURCES LIMITED,Materials
WSI,WESTSTAR INDUSTRIAL LIMITED,Materials
WSR,WESTAR RESOURCES LIMITED,Materials
WTC,WISETECH GLOBAL LIMITED,Software & Services
WTL,WT FINANCIAL GROUP LIMITED,Financial Services
WTM,WARATAH MINERALS LIMITED,Materials
WTN,WINTON LAND LIMITED,Real Estate Management & Development
WWG,WISEWAY GROUP LIMITED,Transportation
WWI,WEST WITS MINING LIMITED,Materials
WYX,WESTERN YILGARN NL,Materials
WZR,WISR LIMITED,Financial Services
X2M,X2M CONNECT LIMITED,Technology Hardware & Equipment
XEN,XENITRA LIMITED,Consumer Discretionary Distribution & Retail
XF1,XREF LIMITED,Software & Services
XGL,XAMBLE GROUP LIMITED,Media & Entertainment
XPD,XPEDRA RESOURCES LIMITED,Materials
XPN,XPON TECHNOLOGIES GROUP LIMITED,Software & Services
XRA,XENORA MINERALS LTD,Materials
XRF,XRF SCIENTIFIC LIMITED,Capital Goods
XRG,XREALITY GROUP LTD,Consumer Services
XRO,XERO LIMITED,Software & Services
XST,XSTATE RESOURCES LIMITED,Energy
XYZ,"BLOCK, INC.",Financial Services
YAL,YANCOAL AUSTRALIA LIMITED,Energy
YAR,YARI RESOURCES LTD,Materials
YOJ,YOJEE LIMITED,Software & Services
YOW,YOWIE GROUP LTD,"Food, Beverage & Tobacco"
YRL,YANDAL RESOURCES LIMITED,Materials
YUG,YUGO METALS LIMITED,Materials
ZAG,ZULEIKA GOLD LIMITED,Materials
ZEO,ZEOTECH LIMITED,Materials
ZEU,ZEUS RESOURCES LIMITED,Energy
ZGL,ZICOM GROUP LIMITED,Capital Goods
ZIM,ZIMPLATS HOLDINGS LIMITED,Materials
ZIP,ZIP CO LIMITED..,Financial Services
ZLD,ZELIRA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ZMI,ZINC OF IRELAND NL,Materials
ZMM,ZIMI LIMITED,Technology Hardware & Equipment
ZNC,ZENITH MINERALS LIMITED,Materials
ZNO,ZOONO GROUP LIMITED,Materials
