ticker,company,sector
MLX,METALS X LIMITED,Materials
RPL,REGAL PARTNERS LIMITED,Financial Services
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate Management & Development
EIQ,ECHOIQ LIMITED,Software & Services
HMC,HMC CAPITAL LIMITED,Financial Services
BCI,BCI MINERALS LIMITED,Materials
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco"
KLS,KELSIAN GROUP LIMITED,Transportation
IRE,IRESS LIMITED,Software & Services
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs)
AIZ,AIR NEW ZEALAND LIMITED,Transportation
GLS,L1 GLOBAL LONG SHORT FUND LIMITED,Not Applic
FDC,FDC CONSOLIDATED HOLDINGS LIMITED,Class Pend
BRE,BRAZILIAN RARE EARTHS LIMITED,Materials
CMW,CROMWELL PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs)
CHI,CHANNEL INFRASTRUCTURE NZ LIMITED,Energy
GNC,GRAINCORP LIMITED,Consumer Staples Distribution & Retail
CAT,CATAPULT SPORTS LTD,Software & Services
BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services
SDR,SITEMINDER LIMITED,Software & Services
PL8,PLATO INCOME MAXIMISER LIMITED.,Not Applic
NUF,NUFARM LIMITED,Materials
JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks
RIC,RIDLEY CORPORATION LIMITED,"Food, Beverage & Tobacco"
IPH,IPH LIMITED,Commercial & Professional Services
MC2,MARIMACA COPPER CORP.,Materials
KAR,KAROON ENERGY LTD,Energy
PMT,PMET RESOURCES INC.,Materials
CCL,CUSCAL LIMITED,Financial Services
LFG,LIBERTY FINANCIAL GROUP,Financial Services
QRI,QUALITAS REAL ESTATE INCOME FUND,Financial Services
CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs)
NAN,NANOSONICS LIMITED,Health Care Equipment & Services
SKS,SKS TECHNOLOGIES GROUP LIMITED,Capital Goods
QAL,QUALITAS LIMITED,Real Estate Management & Development
WEB,WEB TRAVEL GROUP LIMITED,Consumer Services
LFS,LATITUDE GROUP HOLDINGS LIMITED,Financial Services
LGF,L1 GOLD FUND LIMITED,Not Applic
CKF,COLLINS FOODS LIMITED,Consumer Services
AYA,ARTRYA LIMITED,Health Care Equipment & Services
HGH,HEARTLAND GROUP HOLDINGS LIMITED,Banks
SGLLV,RICEGROWERS LIMITED,"Food, Beverage & Tobacco"
